


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Nov  8 2022 18:39:33     Directory:  V5/VexV5-UTG/VexV5-UTG


time,vexVelocity,filteredVelocity,rawVelocity,acceleration,emaGain,voltageOut,deltaTime,vexDeltaTime,deltaTicks
2,0.000000,0.000000,nan,nan,1.000000,12000.000000,0,0,0
22,0.000000,0.000000,0.000000,0.000000,0.150000,12000.000000,25,25,0
42,35.000000,0.000000,50.000000,0.000000,0.150000,12000.000000,20,20,1
62,35.000000,1.666667,0.000000,0.083333,0.162500,12000.000000,20,20,0
82,35.000000,3.166667,0.000000,0.075000,0.161250,12000.000000,20,20,0
102,35.000000,2.850000,0.000000,-0.015833,0.152375,12000.000000,20,20,0
122,35.000000,2.565000,0.000000,-0.014250,0.152138,12000.000000,20,20,0
142,35.000000,2.308500,0.000000,-0.012825,0.151924,12000.000000,20,20,0
162,0.000000,2.077650,0.000000,-0.011542,0.151731,12000.000000,20,20,0
182,0.000000,1.869885,0.000000,-0.010388,0.151558,12000.000000,20,20,0
202,0.000000,1.682897,0.000000,-0.009349,0.151402,12000.000000,20,20,0
222,0.000000,1.514607,0.000000,-0.008414,0.151262,12000.000000,20,20,0
242,0.000000,1.363146,0.000000,-0.007573,0.151136,12000.000000,20,20,0
262,0.000000,1.226832,0.000000,-0.006816,0.151022,12000.000000,20,20,0
282,0.000000,1.104148,0.000000,-0.006134,0.150920,12000.000000,20,20,0
302,0.000000,0.993734,0.000000,-0.005521,0.150828,12000.000000,20,20,0
322,0.000000,0.894360,0.000000,-0.004969,0.150745,12000.000000,20,20,0
342,0.000000,0.804924,0.000000,-0.004472,0.150671,12000.000000,20,20,0
362,0.000000,0.724432,0.000000,-0.004025,0.150604,12000.000000,20,20,0
382,0.000000,0.651989,0.000000,-0.003622,0.150543,12000.000000,20,20,0
402,0.000000,0.586790,0.000000,-0.003260,0.150489,12000.000000,20,20,0
422,0.000000,0.528111,0.000000,-0.002934,0.150440,12000.000000,20,20,0
442,0.000000,0.475300,0.000000,-0.002641,0.150396,12000.000000,20,20,0
462,0.000000,0.427770,0.000000,-0.002376,0.150356,12000.000000,20,20,0
482,0.000000,0.384993,0.000000,-0.002139,0.150321,12000.000000,20,20,0
502,0.000000,0.346493,0.000000,-0.001925,0.150289,12000.000000,20,20,0
522,0.000000,0.311844,0.000000,-0.001732,0.150260,12000.000000,20,20,0
542,0.000000,0.280660,0.000000,-0.001559,0.150234,12000.000000,20,20,0
562,0.000000,0.252594,0.000000,-0.001403,0.150210,12000.000000,20,20,0
582,0.000000,0.227334,0.000000,-0.001263,0.150189,12000.000000,20,20,0
602,0.000000,0.204601,0.000000,-0.001137,0.150171,12000.000000,20,20,0
622,0.000000,0.184141,0.000000,-0.001023,0.150153,12000.000000,20,20,0
642,0.000000,0.165727,0.000000,-0.000921,0.150138,12000.000000,20,20,0
662,0.000000,0.149154,0.000000,-0.000829,0.150124,12000.000000,20,20,0
682,0.000000,0.134239,0.000000,-0.000746,0.150112,12000.000000,20,20,0
702,0.000000,0.120815,0.000000,-0.000671,0.150101,12000.000000,20,20,0
722,0.000000,0.108733,0.000000,-0.000604,0.150091,12000.000000,20,20,0
742,0.000000,0.097860,0.000000,-0.000544,0.150082,12000.000000,20,20,0
762,0.000000,0.088074,0.000000,-0.000489,0.150073,12000.000000,20,20,0
782,0.000000,0.079267,0.000000,-0.000440,0.150066,12000.000000,20,20,0
802,0.000000,0.071340,0.000000,-0.000396,0.150059,12000.000000,20,20,0
822,0.000000,0.064206,0.000000,-0.000357,0.150054,12000.000000,20,20,0
842,0.000000,0.057785,0.000000,-0.000321,0.150048,12000.000000,20,20,0
862,0.000000,0.052007,0.000000,-0.000289,0.150043,12000.000000,20,20,0
882,0.000000,0.046806,0.000000,-0.000260,0.150039,12000.000000,20,20,0
902,0.000000,0.042126,0.000000,-0.000234,0.150035,12000.000000,20,20,0
922,0.000000,0.037913,0.000000,-0.000211,0.150032,12000.000000,20,20,0
942,0.000000,0.034122,0.000000,-0.000190,0.150028,12000.000000,20,20,0
962,0.000000,0.030710,0.000000,-0.000171,0.150026,12000.000000,20,20,0
982,0.000000,0.027639,0.000000,-0.000154,0.150023,12000.000000,20,20,0
1002,0.000000,0.024875,0.000000,-0.000138,0.150021,12000.000000,20,20,0
1022,0.000000,0.022387,0.000000,-0.000124,0.150019,12000.000000,20,20,0
1042,0.000000,0.020149,0.000000,-0.000112,0.150017,12000.000000,20,20,0
1062,0.000000,0.018134,0.000000,-0.000101,0.150015,12000.000000,20,20,0
1082,0.000000,0.016320,0.000000,-0.000091,0.150014,12000.000000,20,20,0
1102,0.000000,0.014688,0.000000,-0.000082,0.150012,12000.000000,20,20,0
1122,0.000000,0.013219,0.000000,-0.000073,0.150011,12000.000000,25,20,0
1142,0.000000,0.011897,0.000000,-0.000066,0.150010,12000.000000,20,20,0
1162,0.000000,0.010708,0.000000,-0.000059,0.150009,12000.000000,20,20,0
1182,0.000000,0.009637,0.000000,-0.000054,0.150008,12000.000000,20,20,0
1202,0.000000,0.008673,0.000000,-0.000048,0.150007,12000.000000,20,20,0
1222,0.000000,0.007806,0.000000,-0.000043,0.150007,12000.000000,20,20,0
1242,0.000000,0.007025,0.000000,-0.000039,0.150006,12000.000000,20,20,0
1262,0.000000,0.006323,0.000000,-0.000035,0.150005,12000.000000,20,20,0
1282,0.000000,0.005691,0.000000,-0.000032,0.150005,12000.000000,20,20,0
1302,0.000000,0.005121,0.000000,-0.000028,0.150004,12000.000000,20,20,0
1322,0.000000,0.004609,0.000000,-0.000026,0.150004,12000.000000,20,20,0
1342,0.000000,0.004148,0.000000,-0.000023,0.150003,12000.000000,20,20,0
1362,0.000000,0.003734,0.000000,-0.000021,0.150003,12000.000000,20,20,0
1382,0.000000,0.003360,0.000000,-0.000019,0.150003,12000.000000,20,20,0
1402,0.000000,0.003024,0.000000,-0.000017,0.150003,12000.000000,20,20,0
1422,0.000000,0.002722,0.000000,-0.000015,0.150002,12000.000000,20,20,0
1442,0.000000,0.002450,0.000000,-0.000014,0.150002,12000.000000,20,20,0
1462,0.000000,0.002205,0.000000,-0.000012,0.150002,12000.000000,20,20,0
1482,0.000000,0.001984,0.000000,-0.000011,0.150002,12000.000000,20,20,0
1502,0.000000,0.001786,0.000000,-0.000010,0.150001,12000.000000,20,20,0
1522,0.000000,0.001607,0.000000,-0.000009,0.150001,12000.000000,20,20,0
1542,0.000000,0.001446,0.000000,-0.000008,0.150001,12000.000000,20,20,0
1562,0.000000,0.001302,0.000000,-0.000007,0.150001,12000.000000,20,20,0
1582,0.000000,0.001172,0.000000,-0.000007,0.150001,12000.000000,20,20,0
1602,0.000000,0.001054,0.000000,-0.000006,0.150001,12000.000000,20,20,0
1622,0.000000,0.000949,0.000000,-0.000005,0.150001,12000.000000,20,20,0
1642,0.000000,0.000854,0.000000,-0.000005,0.150001,12000.000000,20,20,0
1662,0.000000,0.000769,0.000000,-0.000004,0.150001,12000.000000,20,20,0
1682,0.000000,0.000692,0.000000,-0.000004,0.150001,12000.000000,20,20,0
1702,0.000000,0.000623,0.000000,-0.000003,0.150001,12000.000000,20,20,0
1722,0.000000,0.000560,0.000000,-0.000003,0.150000,12000.000000,20,20,0
1742,0.000000,0.000504,0.000000,-0.000003,0.150000,12000.000000,20,20,0
1762,0.000000,0.000454,0.000000,-0.000003,0.150000,12000.000000,20,20,0
1782,0.000000,0.000409,0.000000,-0.000002,0.150000,12000.000000,20,20,0
1802,0.000000,0.000368,0.000000,-0.000002,0.150000,12000.000000,20,20,0
1822,0.000000,0.000331,0.000000,-0.000002,0.150000,12000.000000,20,20,0
1842,0.000000,0.000298,0.000000,-0.000002,0.150000,12000.000000,20,20,0
1862,0.000000,0.000268,0.000000,-0.000001,0.150000,12000.000000,20,20,0
1882,0.000000,0.000241,0.000000,-0.000001,0.150000,12000.000000,20,20,0
1902,0.000000,0.000217,0.000000,-0.000001,0.150000,12000.000000,20,20,0
